step_time,total_stopped,total_wait_time
6.0,0,0.0
11.0,0,0.0
16.0,0,0.0
21.0,3,9.0
26.0,7,32.0
31.0,8,63.0
36.0,7,78.0
41.0,5,95.0
46.0,8,126.0
51.0,14,180.0
56.0,14,250.0
61.0,18,331.0
66.0,20,428.0
71.0,22,532.0
76.0,26,655.0
81.0,31,801.0
86.0,34,967.0
91.0,38,1149.0
96.0,38,1339.0
101.0,38,1529.0
106.0,38,1719.0
111.0,38,1909.0
116.0,35,2014.0
121.0,32,2031.0
126.0,28,2175.0
131.0,26,2311.0
136.0,26,2437.0
141.0,30,2579.0
146.0,33,2736.0
151.0,33,2774.0
156.0,29,2681.0
161.0,27,2818.0
166.0,25,2947.0
171.0,26,3072.0
176.0,28,3208.0
181.0,33,3363.0
186.0,36,3539.0
191.0,38,3728.0
196.0,38,3918.0
201.0,38,4108.0
206.0,35,4141.0
211.0,30,4006.0
216.0,26,3996.0
221.0,25,4123.0
226.0,25,4244.0
231.0,28,4380.0
236.0,32,4533.0
241.0,35,4702.0
246.0,38,4887.0
251.0,38,5077.0
256.0,35,5084.0
261.0,31,4900.0
266.0,27,4873.0
271.0,24,4998.0
276.0,25,5122.0
281.0,25,5076.0
286.0,24,4859.0
291.0,24,4811.0
296.0,26,4935.0
301.0,26,5063.0
306.0,27,5199.0
311.0,31,5347.0
316.0,34,5514.0
321.0,38,5699.0
326.0,38,5889.0
331.0,35,5872.0
336.0,31,5645.0
341.0,30,5794.0
346.0,29,5937.0
351.0,26,6046.0
356.0,30,6186.0
361.0,31,6019.0
366.0,31,5553.0
371.0,27,5688.0
376.0,25,5810.0
381.0,24,5698.0
386.0,20,5445.0
391.0,21,5548.0
396.0,24,5664.0
401.0,26,5790.0
406.0,29,5927.0
411.0,29,5906.0
416.0,28,5801.0
421.0,28,5939.0
426.0,26,6072.0
431.0,26,6199.0
436.0,26,6196.0
441.0,25,6083.0
446.0,25,6200.0
451.0,26,6333.0
456.0,26,6461.0
461.0,29,6601.0
466.0,32,6755.0
471.0,35,6925.0
476.0,38,7113.0
481.0,38,7303.0
486.0,35,7346.0
491.0,30,7235.0
496.0,26,7123.0
501.0,24,7249.0
506.0,22,7232.0
511.0,21,7082.0
516.0,19,7081.0
521.0,22,7187.0
526.0,25,7307.0
531.0,29,7445.0
536.0,30,7589.0
541.0,35,7756.0
546.0,35,7835.0
551.0,31,7828.0
556.0,26,7883.0
561.0,24,8009.0
566.0,23,8046.0
571.0,21,8014.0
576.0,19,8103.0
581.0,22,8205.0
586.0,25,8324.0
591.0,29,8461.0
596.0,32,8614.0
601.0,35,8783.0
606.0,35,8428.0
611.0,31,7542.0
616.0,27,7582.0
621.0,21,7504.0
626.0,16,7559.0
631.0,17,7639.0
636.0,22,7736.0
641.0,27,7864.0
646.0,32,8018.0
651.0,36,8191.0
656.0,38,8380.0
661.0,35,8439.0
666.0,31,8417.0
671.0,27,8557.0
676.0,27,8690.0
681.0,27,8821.0
686.0,28,8858.0
691.0,27,8791.0
696.0,28,8510.0
701.0,23,8622.0
706.0,23,8731.0
711.0,25,8853.0
716.0,23,8688.0
721.0,23,8535.0
726.0,22,8641.0
731.0,23,8758.0
736.0,23,8230.0
741.0,21,7079.0
746.0,20,7170.0
751.0,21,7275.0
756.0,25,7391.0
761.0,28,7526.0
766.0,32,7677.0
771.0,35,7848.0
776.0,38,8036.0
781.0,35,7556.0
786.0,30,6403.0
791.0,27,6543.0
796.0,26,6675.0
801.0,27,6805.0
806.0,28,6788.0
811.0,27,6649.0
816.0,26,6774.0
821.0,25,6900.0
826.0,22,6890.0
831.0,22,6660.0
836.0,21,6760.0
