step_time,total_stopped,total_wait_time
52.0,11,260.0
103.0,7,183.0
154.0,11,534.0
205.0,19,635.0
256.0,24,1500.0
307.0,5,140.0
358.0,8,411.0
409.0,21,762.0
460.0,24,1613.0
511.0,3,70.0
562.0,5,276.0
613.0,22,649.0
664.0,24,1533.0
715.0,6,254.0
766.0,6,496.0
817.0,13,412.0
868.0,24,1248.0
919.0,3,8.0
970.0,6,295.0
1021.0,22,786.0
1072.0,25,1613.0
1123.0,7,194.0
1174.0,11,572.0
1225.0,20,681.0
1276.0,26,1539.0
1327.0,3,155.0
1378.0,11,406.0
1429.0,28,926.0
1480.0,25,1857.0
1531.0,1,116.0
1582.0,9,390.0
1633.0,28,812.0
1684.0,25,1707.0
1735.0,3,208.0
1786.0,10,369.0
1837.0,21,700.0
1888.0,26,1584.0
1939.0,8,241.0
1990.0,20,923.0
2041.0,22,678.0
2092.0,24,1610.0
2143.0,9,278.0
2194.0,10,568.0
2245.0,25,762.0
2296.0,25,1685.0
2347.0,10,260.0
2398.0,16,731.0
2449.0,29,879.0
2500.0,25,1791.0
2551.0,1,77.0
2602.0,4,79.0
2653.0,15,513.0
2704.0,26,1295.0
2755.0,2,157.0
2806.0,9,441.0
2857.0,28,824.0
2908.0,27,1760.0
2959.0,7,319.0
3010.0,15,586.0
3061.0,25,698.0
3112.0,25,1616.0
3163.0,2,162.0
3214.0,6,250.0
3265.0,28,938.0
3316.0,25,1845.0
3367.0,9,208.0
3418.0,13,579.0
3469.0,25,860.0
3520.0,24,1701.0
3571.0,5,238.0
3622.0,9,454.0
3673.0,24,618.0
3724.0,25,1515.0
3775.0,5,144.0
3826.0,9,386.0
3877.0,24,828.0
3928.0,24,1701.0
3979.0,1,2.0
4030.0,4,70.0
4081.0,24,732.0
4132.0,25,1617.0
4183.0,1,84.0
4234.0,1,82.0
4285.0,24,707.0
4336.0,25,1666.0
4387.0,3,69.0
4438.0,4,189.0
4489.0,18,553.0
4540.0,25,1351.0
4591.0,1,137.0
4642.0,1,248.0
4693.0,16,400.0
4744.0,24,1251.0
4795.0,0,23.0
4846.0,5,187.0
4897.0,18,491.0
4948.0,26,1332.0
4999.0,2,150.0
5050.0,1,199.0
5101.0,25,624.0
5152.0,25,1543.0
5203.0,6,178.0
5254.0,11,489.0
5305.0,19,606.0
5356.0,24,1435.0
5407.0,8,224.0
5458.0,9,512.0
5509.0,22,554.0
5560.0,24,1497.0
5611.0,10,171.0
5662.0,13,632.0
5713.0,20,629.0
5764.0,26,1480.0
5815.0,1,104.0
5866.0,6,217.0
5917.0,24,781.0
5968.0,25,1669.0
6019.0,7,195.0
6070.0,13,574.0
6121.0,26,810.0
6172.0,24,1708.0
6223.0,9,233.0
6274.0,14,691.0
6325.0,28,813.0
6376.0,24,1728.0
6427.0,0,54.0
6478.0,3,129.0
6529.0,26,774.0
6580.0,24,1712.0
6631.0,7,165.0
6682.0,9,511.0
6733.0,29,957.0
6784.0,25,1832.0
6835.0,2,79.0
6886.0,3,62.0
6937.0,27,848.0
6988.0,25,1729.0
7039.0,3,174.0
7090.0,4,356.0
7141.0,28,839.0
7192.0,25,1761.0
7243.0,4,148.0
7294.0,2,234.0
7345.0,24,630.0
7396.0,26,1592.0
7447.0,9,269.0
7498.0,12,633.0
7549.0,18,467.0
7600.0,25,1313.0
7651.0,1,73.0
7702.0,7,264.0
7753.0,21,700.0
7804.0,26,1616.0
7855.0,4,245.0
7906.0,5,397.0
7957.0,21,557.0
8008.0,26,1485.0
8059.0,2,96.0
8110.0,6,304.0
8161.0,15,585.0
8212.0,27,1374.0
8263.0,1,159.0
8314.0,8,358.0
8365.0,18,495.0
8416.0,24,1342.0
8467.0,1,47.0
8518.0,4,179.0
8569.0,24,633.0
8620.0,24,1537.0
8671.0,2,155.0
8722.0,6,327.0
8773.0,24,761.0
8824.0,24,1688.0
8875.0,3,159.0
8926.0,1,233.0
8977.0,14,453.0
9028.0,26,1216.0
9079.0,4,252.0
9130.0,10,477.0
9181.0,19,471.0
9232.0,26,1319.0
9283.0,1,42.0
9334.0,4,63.0
9385.0,28,866.0
9436.0,26,1799.0
9487.0,5,185.0
9538.0,5,304.0
9589.0,21,650.0
9640.0,25,1528.0
9691.0,0,72.0
9742.0,7,215.0
9793.0,23,831.0
9844.0,26,1749.0
9895.0,2,105.0
9946.0,4,224.0
9997.0,23,796.0
10048.0,24,1715.0
10099.0,7,202.0
10150.0,10,451.0
10201.0,22,747.0
10252.0,27,1633.0
10303.0,3,91.0
10354.0,2,214.0
10405.0,24,824.0
10456.0,24,1702.0
10507.0,4,137.0
10558.0,8,409.0
10609.0,21,574.0
10660.0,27,1416.0
10711.0,7,203.0
10762.0,10,370.0
10813.0,25,884.0
10864.0,24,1795.0
10915.0,1,16.0
10966.0,5,29.0
11017.0,18,639.0
11068.0,24,1464.0
11119.0,2,125.0
11170.0,5,324.0
11221.0,26,742.0
11272.0,24,1664.0
11323.0,0,51.0
11374.0,7,280.0
11425.0,23,670.0
11476.0,24,1594.0
11527.0,6,181.0
11578.0,11,505.0
11629.0,23,716.0
11680.0,26,1678.0
11731.0,6,208.0
11782.0,12,591.0
11833.0,27,785.0
11884.0,24,1737.0
11935.0,1,96.0
11986.0,11,434.0
12037.0,23,662.0
12088.0,24,1572.0
12139.0,1,24.0
12190.0,3,98.0
12241.0,22,587.0
12292.0,26,1504.0
12343.0,3,184.0
12394.0,14,487.0
12445.0,22,649.0
12496.0,24,1534.0
12547.0,4,219.0
12598.0,3,320.0
12649.0,26,741.0
12700.0,26,1619.0
12751.0,2,113.0
12802.0,8,338.0
12853.0,23,724.0
12904.0,25,1623.0
12955.0,2,62.0
13006.0,3,125.0
13057.0,26,765.0
13108.0,25,1699.0
13159.0,6,177.0
13210.0,14,558.0
13261.0,22,790.0
13312.0,25,1647.0
13363.0,2,158.0
13414.0,4,169.0
13465.0,28,862.0
13516.0,24,1768.0
13567.0,2,107.0
13618.0,6,229.0
13669.0,24,711.0
13720.0,24,1602.0
13771.0,0,72.0
13822.0,4,156.0
13873.0,21,568.0
13924.0,24,1475.0
13975.0,2,77.0
14026.0,4,137.0
14077.0,29,809.0
14128.0,24,1756.0
14179.0,4,149.0
14230.0,9,484.0
14281.0,18,548.0
14332.0,24,1445.0
14383.0,2,94.0
14434.0,3,275.0
14485.0,24,703.0
14536.0,25,1618.0
14587.0,6,101.0
14638.0,9,413.0
14689.0,29,998.0
14740.0,25,1899.0
14791.0,7,218.0
14842.0,6,458.0
14893.0,28,846.0
14944.0,25,1788.0
14995.0,6,292.0
15046.0,7,475.0
15097.0,26,862.0
15148.0,26,1822.0
15199.0,2,126.0
15250.0,5,225.0
15301.0,22,782.0
15352.0,26,1619.0
15403.0,2,108.0
15454.0,5,291.0
15505.0,25,820.0
15556.0,24,1711.0
15607.0,3,28.0
15658.0,9,304.0
15709.0,26,915.0
15760.0,25,1781.0
15811.0,2,64.0
15862.0,8,265.0
15913.0,19,563.0
15964.0,24,1431.0
16015.0,0,73.0
16066.0,10,253.0
16117.0,27,781.0
16168.0,24,1694.0
16219.0,13,321.0
16270.0,17,837.0
16321.0,23,570.0
16372.0,26,1454.0
16423.0,0,14.0
16474.0,9,329.0
16525.0,25,650.0
16576.0,25,1580.0
16627.0,5,109.0
16678.0,4,300.0
16729.0,17,409.0
16780.0,26,1324.0
16831.0,3,153.0
16882.0,2,239.0
16933.0,19,562.0
16984.0,24,1459.0
17035.0,2,3.0
17086.0,2,75.0
17137.0,19,508.0
17188.0,24,1434.0
17239.0,1,119.0
17290.0,9,268.0
17341.0,27,752.0
17392.0,25,1673.0
17443.0,3,102.0
17494.0,6,302.0
17545.0,21,590.0
17596.0,27,1495.0
17647.0,6,254.0
17698.0,15,652.0
17749.0,24,741.0
17800.0,25,1664.0
17851.0,2,111.0
17902.0,5,136.0
17953.0,23,782.0
18004.0,26,1637.0
18055.0,6,214.0
18106.0,8,416.0
18157.0,15,452.0
18208.0,24,1249.0
18259.0,5,121.0
18310.0,3,123.0
18361.0,25,839.0
18412.0,24,1728.0
18463.0,2,164.0
18514.0,2,182.0
18565.0,21,566.0
18616.0,26,1444.0
18667.0,3,141.0
18718.0,9,284.0
18769.0,26,724.0
18820.0,26,1651.0
18871.0,6,257.0
18922.0,9,448.0
18973.0,22,593.0
19024.0,26,1503.0
19075.0,1,78.0
19126.0,5,214.0
19177.0,22,688.0
19228.0,24,1573.0
19279.0,4,96.0
19330.0,2,222.0
19381.0,21,620.0
19432.0,26,1523.0
19483.0,7,270.0
19534.0,12,578.0
19585.0,12,369.0
19636.0,26,1009.0
19687.0,5,236.0
19738.0,7,378.0
19789.0,22,729.0
19840.0,24,1619.0
19891.0,1,97.0
19942.0,6,262.0
19993.0,26,737.0
20044.0,24,1659.0
20095.0,6,220.0
20146.0,12,531.0
20197.0,13,395.0
20248.0,26,1230.0
20299.0,6,216.0
20350.0,7,441.0
20401.0,28,817.0
20452.0,24,1730.0
20503.0,5,169.0
20554.0,8,457.0
20605.0,18,506.0
20656.0,25,1393.0
20707.0,1,119.0
20758.0,2,146.0
20809.0,20,710.0
20860.0,24,1598.0
20911.0,2,52.0
20962.0,8,230.0
21013.0,29,874.0
