step_time,total_stopped,total_wait_time
5.0,0,0.0
10.0,0,0.0
15.0,0,0.0
20.0,3,1.5
25.0,7,3.5
30.0,11,5.5
35.0,14,7.0
40.0,18,9.0
45.0,15,7.5
50.0,7,3.5
55.0,7,3.5
60.0,8,4.0
65.0,16,8.0
70.0,22,11.0
75.0,28,14.0
80.0,32,16.0
85.0,38,19.0
90.0,38,19.0
95.0,38,19.0
100.0,38,19.0
105.0,38,19.0
110.0,38,19.0
115.0,38,19.0
120.0,38,19.0
125.0,38,19.0
130.0,38,19.0
135.0,38,19.0
140.0,38,19.0
145.0,33,16.5
150.0,24,12.0
155.0,15,7.5
160.0,12,6.0
165.0,15,7.5
170.0,21,10.5
175.0,26,13.0
180.0,35,17.5
185.0,38,19.0
190.0,38,19.0
195.0,38,19.0
200.0,38,19.0
205.0,32,16.0
210.0,23,11.5
215.0,17,8.5
220.0,13,6.5
225.0,15,7.5
230.0,20,10.0
235.0,22,11.0
240.0,21,10.5
245.0,16,8.0
250.0,12,6.0
255.0,14,7.0
260.0,19,9.5
265.0,26,13.0
270.0,33,16.5
275.0,35,17.5
280.0,38,19.0
285.0,38,19.0
290.0,38,19.0
295.0,38,19.0
300.0,33,16.5
305.0,24,12.0
310.0,17,8.5
315.0,14,7.0
320.0,16,8.0
325.0,22,11.0
330.0,28,14.0
335.0,36,18.0
340.0,38,19.0
345.0,38,19.0
350.0,38,19.0
355.0,38,19.0
360.0,38,19.0
365.0,38,19.0
370.0,38,19.0
375.0,38,19.0
380.0,38,19.0
385.0,32,16.0
390.0,24,12.0
395.0,15,7.5
400.0,11,5.5
405.0,13,6.5
410.0,20,10.0
415.0,27,13.5
420.0,33,16.5
425.0,38,19.0
430.0,38,19.0
435.0,38,19.0
440.0,38,19.0
445.0,38,19.0
450.0,33,16.5
455.0,24,12.0
460.0,15,7.5
465.0,13,6.5
470.0,13,6.5
475.0,14,7.0
480.0,11,5.5
485.0,9,4.5
490.0,11,5.5
495.0,7,3.5
500.0,7,3.5
505.0,4,2.0
510.0,7,3.5
515.0,14,7.0
520.0,16,8.0
525.0,11,5.5
530.0,11,5.5
535.0,11,5.5
540.0,13,6.5
545.0,20,10.0
550.0,24,12.0
555.0,33,16.5
560.0,32,16.0
565.0,22,11.0
570.0,15,7.5
575.0,12,6.0
580.0,12,6.0
585.0,13,6.5
590.0,13,6.5
595.0,10,5.0
600.0,12,6.0
605.0,15,7.5
610.0,20,10.0
615.0,29,14.5
620.0,34,17.0
625.0,38,19.0
630.0,38,19.0
635.0,38,19.0
640.0,38,19.0
645.0,32,16.0
650.0,23,11.5
655.0,17,8.5
660.0,14,7.0
665.0,14,7.0
670.0,14,7.0
675.0,12,6.0
680.0,10,5.0
685.0,9,4.5
690.0,13,6.5
695.0,21,10.5
700.0,27,13.5
705.0,28,14.0
710.0,21,10.5
