step_time,total_stopped,total_wait_time
52.0,5,141.0
103.0,10,436.0
154.0,14,1069.0
205.0,16,935.0
256.0,18,1736.0
307.0,14,756.0
358.0,16,1440.0
409.0,10,761.0
460.0,20,1540.0
511.0,12,829.0
562.0,22,1646.0
613.0,20,1084.0
664.0,18,1881.0
715.0,12,839.0
766.0,16,1556.0
817.0,16,936.0
868.0,18,1735.0
919.0,16,838.0
970.0,18,1624.0
1021.0,10,786.0
1072.0,20,1536.0
1123.0,12,823.0
1174.0,22,1648.0
1225.0,21,1083.0
1276.0,21,1918.0
1327.0,13,937.0
1378.0,17,1701.0
1429.0,16,938.0
1480.0,18,1730.0
1531.0,15,798.0
1582.0,17,1529.0
1633.0,10,759.0
1684.0,20,1535.0
1735.0,12,821.0
1786.0,22,1645.0
1837.0,20,1087.0
1888.0,18,1880.0
1939.0,12,844.0
1990.0,16,1561.0
2041.0,16,936.0
2092.0,18,1734.0
2143.0,15,801.0
2194.0,17,1536.0
2245.0,10,763.0
2296.0,20,1543.0
2347.0,12,826.0
2398.0,22,1650.0
2449.0,20,1103.0
2500.0,18,1882.0
2551.0,12,841.0
2602.0,16,1560.0
2653.0,16,931.0
2704.0,18,1733.0
2755.0,16,836.0
2806.0,18,1618.0
2857.0,10,761.0
2908.0,20,1543.0
2959.0,12,852.0
3010.0,22,1650.0
3061.0,21,1084.0
3112.0,21,1918.0
3163.0,13,933.0
3214.0,17,1699.0
3265.0,16,937.0
3316.0,18,1732.0
3367.0,15,797.0
3418.0,17,1529.0
3469.0,10,761.0
3520.0,20,1544.0
3571.0,12,827.0
3622.0,22,1653.0
3673.0,21,1094.0
3724.0,20,1927.0
3775.0,13,936.0
3826.0,17,1700.0
3877.0,16,937.0
3928.0,18,1727.0
3979.0,14,753.0
4030.0,16,1433.0
4081.0,10,754.0
4132.0,20,1528.0
4183.0,12,821.0
4234.0,22,1648.0
4285.0,21,1089.0
4336.0,19,1918.0
4387.0,13,934.0
4438.0,17,1696.0
4489.0,16,938.0
4540.0,18,1731.0
4591.0,13,754.0
4642.0,16,1439.0
4693.0,10,759.0
4744.0,20,1539.0
4795.0,12,827.0
4846.0,22,1648.0
4897.0,21,1085.0
4948.0,20,1916.0
4999.0,13,930.0
5050.0,17,1700.0
5101.0,16,942.0
5152.0,18,1736.0
5203.0,16,838.0
5254.0,18,1622.0
5305.0,10,761.0
5356.0,20,1541.0
5407.0,12,830.0
5458.0,22,1653.0
5509.0,20,1087.0
5560.0,18,1881.0
5611.0,12,850.0
5662.0,16,1565.0
5713.0,16,942.0
5764.0,18,1742.0
5815.0,14,761.0
5866.0,16,1446.0
5917.0,10,764.0
5968.0,20,1545.0
6019.0,12,827.0
6070.0,22,1654.0
6121.0,20,1089.0
6172.0,21,1888.0
6223.0,12,852.0
6274.0,16,1567.0
6325.0,16,938.0
6376.0,18,1734.0
6427.0,14,758.0
6478.0,16,1446.0
6529.0,10,764.0
6580.0,20,1540.0
6631.0,12,824.0
6682.0,22,1650.0
6733.0,22,1088.0
6784.0,21,1958.0
6835.0,14,1020.0
6886.0,18,1841.0
6937.0,16,984.0
6988.0,18,1735.0
7039.0,14,758.0
7090.0,16,1441.0
7141.0,10,760.0
7192.0,20,1548.0
7243.0,12,834.0
7294.0,22,1659.0
7345.0,20,1098.0
7396.0,20,1899.0
7447.0,12,852.0
7498.0,16,1567.0
7549.0,16,933.0
7600.0,18,1732.0
7651.0,15,796.0
7702.0,17,1532.0
7753.0,10,763.0
7804.0,20,1543.0
7855.0,12,826.0
7906.0,22,1654.0
7957.0,21,1088.0
8008.0,21,1922.0
8059.0,13,936.0
8110.0,17,1702.0
8161.0,16,934.0
8212.0,18,1731.0
8263.0,15,796.0
8314.0,17,1525.0
8365.0,10,753.0
8416.0,20,1530.0
8467.0,12,847.0
8518.0,22,1651.0
8569.0,21,1094.0
8620.0,21,1927.0
8671.0,13,941.0
8722.0,17,1702.0
8773.0,16,942.0
8824.0,18,1737.0
8875.0,14,760.0
8926.0,16,1444.0
8977.0,10,764.0
9028.0,20,1548.0
9079.0,12,830.0
9130.0,22,1651.0
9181.0,21,1100.0
