step_time,total_stopped,total_wait_time
6.0,0,0.0
11.0,0,0.0
16.0,1,1.0
21.0,6,25.0
26.0,6,55.0
31.0,6,85.0
36.0,6,115.0
41.0,6,145.0
46.0,6,175.0
51.0,4,136.0
56.0,10,180.0
61.0,8,213.0
66.0,8,253.0
71.0,8,293.0
76.0,8,333.0
81.0,8,373.0
86.0,8,413.0
91.0,14,472.0
96.0,14,542.0
101.0,14,612.0
106.0,12,646.0
111.0,12,706.0
116.0,12,766.0
121.0,12,826.0
126.0,13,677.0
131.0,12,519.0
136.0,11,557.0
141.0,11,612.0
146.0,11,667.0
151.0,11,722.0
156.0,11,777.0
161.0,16,839.0
166.0,17,924.0
171.0,13,914.0
176.0,13,961.0
181.0,20,1026.0
186.0,13,1091.0
191.0,13,1156.0
196.0,16,1227.0
201.0,18,1315.0
206.0,18,1405.0
211.0,18,1495.0
216.0,16,1547.0
221.0,16,1627.0
226.0,16,1707.0
231.0,18,1792.0
236.0,22,1895.0
241.0,16,1808.0
246.0,16,1749.0
251.0,16,1829.0
256.0,16,1909.0
261.0,16,1989.0
266.0,18,2072.0
271.0,19,2164.0
276.0,19,2259.0
281.0,19,2354.0
286.0,19,2449.0
291.0,19,2544.0
296.0,19,2639.0
301.0,21,2736.0
306.0,24,2846.0
311.0,25,2971.0
316.0,20,2926.0
321.0,20,2960.0
326.0,20,3060.0
331.0,20,3160.0
336.0,20,3260.0
341.0,24,3372.0
346.0,26,3502.0
351.0,26,3632.0
356.0,26,3762.0
361.0,32,3850.0
366.0,24,3970.0
371.0,26,4092.0
376.0,27,4223.0
381.0,30,4372.0
386.0,30,4522.0
391.0,24,4495.0
396.0,24,4489.0
401.0,24,4609.0
406.0,24,4729.0
411.0,26,4857.0
416.0,30,5002.0
421.0,28,5136.0
426.0,28,5276.0
431.0,28,5416.0
436.0,28,5556.0
441.0,28,5696.0
446.0,30,5843.0
451.0,28,5130.0
456.0,18,3720.0
461.0,11,3461.0
466.0,17,3533.0
471.0,23,3636.0
476.0,27,3768.0
481.0,29,3905.0
486.0,33,4059.0
491.0,33,4224.0
496.0,27,4144.0
501.0,25,4011.0
506.0,25,4110.0
511.0,25,4235.0
516.0,27,4362.0
521.0,28,4498.0
526.0,31,4652.0
531.0,31,4807.0
536.0,31,4962.0
541.0,39,5117.0
546.0,31,5272.0
551.0,32,5430.0
556.0,33,5527.0
561.0,35,5699.0
566.0,33,5857.0
571.0,33,6022.0
576.0,33,6187.0
581.0,33,6352.0
586.0,33,6517.0
591.0,36,6693.0
596.0,39,6885.0
601.0,37,7062.0
606.0,37,7247.0
611.0,37,7432.0
616.0,37,7617.0
621.0,37,7802.0
626.0,33,7035.0
631.0,29,5499.0
636.0,20,5254.0
641.0,21,5352.0
646.0,28,5480.0
651.0,34,5637.0
656.0,36,5816.0
661.0,38,6000.0
666.0,42,6203.0
671.0,42,6413.0
676.0,38,6526.0
681.0,38,6696.0
686.0,38,6886.0
691.0,38,7076.0
696.0,39,7269.0
701.0,42,7477.0
706.0,44,7696.0
711.0,44,7916.0
716.0,44,8136.0
721.0,50,8317.0
726.0,42,8527.0
731.0,44,8742.0
736.0,46,8971.0
741.0,48,9208.0
746.0,48,9448.0
751.0,46,9661.0
756.0,46,9891.0
761.0,46,10121.0
766.0,47,10353.0
771.0,50,10597.0
776.0,52,10854.0
781.0,52,11114.0
786.0,52,11374.0
791.0,52,11634.0
796.0,52,11894.0
801.0,53,12155.0
806.0,54,12364.0
811.0,56,12637.0
816.0,54,12904.0
821.0,54,13174.0
826.0,54,13444.0
831.0,54,13714.0
836.0,56,13986.0
841.0,58,14270.0
