step_time,total_stopped,total_wait_time
6.0,0,0.0
11.0,0,0.0
16.0,0,0.0
21.0,6,25.0
26.0,6,55.0
31.0,6,85.0
36.0,6,115.0
41.0,6,145.0
46.0,6,175.0
51.0,4,137.0
56.0,10,180.0
61.0,8,213.0
66.0,8,253.0
71.0,8,293.0
76.0,8,333.0
81.0,8,373.0
86.0,8,413.0
91.0,8,316.0
96.0,8,278.0
101.0,8,318.0
106.0,8,358.0
111.0,8,398.0
116.0,8,438.0
121.0,8,478.0
126.0,14,529.0
131.0,14,599.0
136.0,10,571.0
141.0,10,603.0
146.0,10,653.0
151.0,10,703.0
156.0,10,753.0
161.0,14,811.0
166.0,16,891.0
171.0,16,971.0
176.0,12,942.0
181.0,20,973.0
186.0,12,1033.0
191.0,12,1093.0
196.0,14,1157.0
201.0,16,1237.0
206.0,16,1317.0
211.0,12,1293.0
216.0,12,1327.0
221.0,12,1387.0
226.0,12,1447.0
231.0,8,1075.0
236.0,6,468.0
241.0,8,487.0
246.0,12,541.0
251.0,12,601.0
256.0,12,661.0
261.0,12,721.0
266.0,12,781.0
271.0,18,860.0
276.0,18,950.0
281.0,14,939.0
286.0,14,987.0
291.0,10,938.0
296.0,10,948.0
301.0,10,998.0
306.0,15,1059.0
311.0,10,773.0
316.0,4,300.0
321.0,8,258.0
326.0,9,303.0
331.0,9,348.0
336.0,9,393.0
341.0,12,442.0
346.0,11,423.0
351.0,11,478.0
356.0,11,533.0
361.0,19,588.0
366.0,11,643.0
371.0,11,698.0
376.0,13,756.0
381.0,17,838.0
386.0,17,923.0
391.0,17,1008.0
396.0,15,1056.0
401.0,15,1131.0
406.0,15,1206.0
411.0,17,1284.0
416.0,21,1384.0
421.0,21,1489.0
426.0,21,1594.0
431.0,21,1699.0
436.0,21,1804.0
441.0,21,1909.0
446.0,21,1950.0
451.0,25,2068.0
456.0,23,2178.0
461.0,23,2293.0
466.0,23,2408.0
471.0,23,2523.0
476.0,23,2638.0
481.0,23,2753.0
486.0,29,2889.0
491.0,29,3034.0
496.0,27,3156.0
501.0,27,3291.0
506.0,27,3426.0
511.0,27,3561.0
516.0,27,3696.0
521.0,33,3847.0
526.0,33,4012.0
531.0,33,4177.0
536.0,33,4342.0
541.0,39,4465.0
546.0,31,4620.0
551.0,31,4775.0
556.0,35,4943.0
561.0,37,5124.0
566.0,37,5309.0
571.0,37,5494.0
576.0,37,5679.0
581.0,37,5864.0
586.0,37,6049.0
591.0,39,6180.0
596.0,41,6382.0
601.0,39,6570.0
606.0,39,6765.0
611.0,39,6960.0
616.0,39,7155.0
621.0,39,7350.0
626.0,43,7560.0
631.0,45,7780.0
636.0,43,7990.0
641.0,43,8205.0
646.0,43,8420.0
651.0,43,8635.0
656.0,43,8850.0
661.0,47,9073.0
666.0,48,9309.0
671.0,49,9554.0
676.0,49,9799.0
681.0,47,10013.0
686.0,47,10248.0
691.0,47,10483.0
696.0,51,10725.0
701.0,52,10981.0
706.0,53,11245.0
711.0,47,10694.0
716.0,37,9493.0
721.0,39,9358.0
726.0,37,9530.0
731.0,45,9736.0
736.0,50,9977.0
741.0,52,10237.0
746.0,46,9873.0
751.0,36,9061.0
756.0,35,9051.0
761.0,41,9246.0
766.0,47,9472.0
771.0,48,9710.0
776.0,51,9962.0
781.0,51,10217.0
786.0,51,10472.0
791.0,45,10541.0
796.0,45,10625.0
801.0,47,10854.0
806.0,48,11091.0
811.0,51,11341.0
816.0,51,11596.0
821.0,51,11851.0
826.0,51,12106.0
831.0,51,12361.0
836.0,53,12620.0
841.0,54,12886.0
846.0,56,13164.0
851.0,57,13449.0
856.0,57,13734.0
