step_time,total_stopped,total_wait_time
6.0,0,0.0
11.0,0,0.0
16.0,0,0.0
21.0,6,27.0
26.0,6,57.0
31.0,6,87.0
36.0,6,117.0
41.0,6,147.0
46.0,6,177.0
51.0,4,138.0
56.0,10,180.0
61.0,8,213.0
66.0,8,253.0
71.0,8,293.0
76.0,8,333.0
81.0,8,373.0
86.0,8,413.0
91.0,14,468.0
96.0,8,373.0
101.0,8,315.0
106.0,8,355.0
111.0,8,395.0
116.0,8,435.0
121.0,8,475.0
126.0,12,525.0
131.0,12,585.0
136.0,12,645.0
141.0,10,603.0
146.0,10,653.0
151.0,10,703.0
156.0,10,753.0
161.0,14,811.0
166.0,16,890.0
171.0,16,970.0
176.0,12,943.0
181.0,20,975.0
186.0,12,1035.0
191.0,12,1095.0
196.0,15,1161.0
201.0,18,1249.0
206.0,18,1339.0
211.0,18,1429.0
216.0,18,1519.0
221.0,18,1609.0
226.0,18,1699.0
231.0,16,1648.0
236.0,20,1677.0
241.0,18,1759.0
246.0,18,1849.0
251.0,18,1939.0
256.0,18,2029.0
261.0,18,2119.0
266.0,20,2211.0
271.0,24,2323.0
276.0,22,2429.0
281.0,22,2539.0
286.0,22,2649.0
291.0,22,2759.0
296.0,22,2869.0
301.0,24,2983.0
306.0,28,3111.0
311.0,28,3251.0
316.0,28,3391.0
321.0,26,3498.0
326.0,26,3628.0
331.0,26,3758.0
336.0,26,3888.0
341.0,31,4034.0
346.0,32,4194.0
351.0,32,4354.0
356.0,32,4514.0
361.0,40,4674.0
366.0,32,4834.0
371.0,33,4995.0
376.0,34,5098.0
381.0,36,5275.0
386.0,34,5438.0
391.0,34,5608.0
396.0,34,5778.0
401.0,34,5948.0
406.0,34,6118.0
411.0,38,6301.0
416.0,40,6499.0
421.0,38,6681.0
426.0,38,6871.0
431.0,38,7061.0
436.0,38,7251.0
441.0,38,7441.0
446.0,42,7640.0
451.0,44,7853.0
456.0,44,8073.0
461.0,44,8293.0
466.0,42,8480.0
471.0,42,8690.0
476.0,42,8900.0
481.0,46,9118.0
486.0,48,9350.0
491.0,48,9590.0
496.0,48,9830.0
501.0,48,10070.0
506.0,48,10310.0
511.0,48,10550.0
516.0,49,10736.0
521.0,50,10985.0
526.0,52,11245.0
531.0,50,11485.0
536.0,50,11735.0
541.0,58,11985.0
546.0,50,12235.0
551.0,52,12492.0
556.0,54,12760.0
561.0,56,13037.0
566.0,54,13300.0
571.0,54,13570.0
576.0,54,13840.0
581.0,54,14110.0
586.0,56,14388.0
591.0,58,14675.0
596.0,60,14972.0
601.0,60,15272.0
606.0,60,15572.0
611.0,58,15835.0
616.0,58,16125.0
621.0,60,16421.0
626.0,62,16728.0
631.0,64,17042.0
636.0,64,17362.0
641.0,64,17682.0
646.0,64,18002.0
651.0,64,18322.0
656.0,64,18597.0
661.0,66,18926.0
666.0,68,19260.0
671.0,68,19600.0
676.0,68,19940.0
681.0,68,20280.0
686.0,68,20620.0
691.0,68,20960.0
696.0,70,21308.0
701.0,69,21586.0
706.0,70,21936.0
711.0,70,22286.0
716.0,68,22604.0
721.0,74,22944.0
726.0,68,23284.0
731.0,70,23632.0
736.0,64,22537.0
741.0,58,20186.0
746.0,50,19820.0
751.0,46,20056.0
756.0,47,20286.0
761.0,55,20546.0
766.0,64,20844.0
771.0,69,21184.0
776.0,71,21537.0
781.0,71,21892.0
786.0,67,22145.0
791.0,67,22456.0
796.0,67,22791.0
801.0,71,23140.0
806.0,71,23495.0
811.0,73,23855.0
816.0,73,24220.0
821.0,73,24585.0
826.0,73,24950.0
831.0,72,25271.0
836.0,75,25644.0
841.0,75,26019.0
